month,city_id,trip_count,repeat_passenger_count
01-01-2024,AP01,10-Trips,7
01-01-2024,AP01,2-Trips,352
01-01-2024,AP01,3-Trips,158
01-01-2024,AP01,4-Trips,53
01-01-2024,AP01,5-Trips,38
01-01-2024,AP01,6-Trips,14
01-01-2024,AP01,7-Trips,10
01-01-2024,AP01,8-Trips,11
01-01-2024,AP01,9-Trips,7
01-01-2024,CH01,10-Trips,14
01-01-2024,CH01,2-Trips,196
01-01-2024,CH01,3-Trips,182
01-01-2024,CH01,4-Trips,87
01-01-2024,CH01,5-Trips,119
01-01-2024,CH01,6-Trips,44
01-01-2024,CH01,7-Trips,33
01-01-2024,CH01,8-Trips,31
01-01-2024,CH01,9-Trips,14
01-01-2024,GJ01,10-Trips,27
01-01-2024,GJ01,2-Trips,91
01-01-2024,GJ01,3-Trips,161
01-01-2024,GJ01,4-Trips,181
01-01-2024,GJ01,5-Trips,366
01-01-2024,GJ01,6-Trips,172
01-01-2024,GJ01,7-Trips,107
01-01-2024,GJ01,8-Trips,55
01-01-2024,GJ01,9-Trips,24
01-01-2024,GJ02,10-Trips,8
01-01-2024,GJ02,2-Trips,41
01-01-2024,GJ02,3-Trips,97
01-01-2024,GJ02,4-Trips,94
01-01-2024,GJ02,5-Trips,109
01-01-2024,GJ02,6-Trips,98
01-01-2024,GJ02,7-Trips,64
01-01-2024,GJ02,8-Trips,21
01-01-2024,GJ02,9-Trips,12
01-01-2024,KA01,10-Trips,1
01-01-2024,KA01,2-Trips,75
01-01-2024,KA01,3-Trips,54
01-01-2024,KA01,4-Trips,22
01-01-2024,KA01,5-Trips,10
01-01-2024,KA01,6-Trips,5
01-01-2024,KA01,7-Trips,2
01-01-2024,KA01,8-Trips,3
01-01-2024,KA01,9-Trips,0
01-01-2024,KL01,10-Trips,6
01-01-2024,KL01,2-Trips,410
01-01-2024,KL01,3-Trips,188
01-01-2024,KL01,4-Trips,58
01-01-2024,KL01,5-Trips,62
01-01-2024,KL01,6-Trips,33
01-01-2024,KL01,7-Trips,17
01-01-2024,KL01,8-Trips,13
01-01-2024,KL01,9-Trips,8
01-01-2024,MP01,10-Trips,13
01-01-2024,MP01,2-Trips,399
01-01-2024,MP01,3-Trips,194
01-01-2024,MP01,4-Trips,120
01-01-2024,MP01,5-Trips,120
01-01-2024,MP01,6-Trips,79
01-01-2024,MP01,7-Trips,54
01-01-2024,MP01,8-Trips,34
01-01-2024,MP01,9-Trips,20
01-01-2024,RJ01,10-Trips,13
01-01-2024,RJ01,2-Trips,705
01-01-2024,RJ01,3-Trips,278
01-01-2024,RJ01,4-Trips,194
01-01-2024,RJ01,5-Trips,118
01-01-2024,RJ01,6-Trips,35
01-01-2024,RJ01,7-Trips,43
01-01-2024,RJ01,8-Trips,22
01-01-2024,RJ01,9-Trips,14
01-01-2024,TN01,10-Trips,1
01-01-2024,TN01,2-Trips,49
01-01-2024,TN01,3-Trips,69
01-01-2024,TN01,4-Trips,64
01-01-2024,TN01,5-Trips,97
01-01-2024,TN01,6-Trips,54
01-01-2024,TN01,7-Trips,25
01-01-2024,TN01,8-Trips,23
01-01-2024,TN01,9-Trips,10
01-01-2024,UP01,10-Trips,14
01-01-2024,UP01,2-Trips,77
01-01-2024,UP01,3-Trips,202
01-01-2024,UP01,4-Trips,201
01-01-2024,UP01,5-Trips,352
01-01-2024,UP01,6-Trips,325
01-01-2024,UP01,7-Trips,137
01-01-2024,UP01,8-Trips,87
01-01-2024,UP01,9-Trips,36
01-02-2024,AP01,10-Trips,4
01-02-2024,AP01,2-Trips,433
01-02-2024,AP01,3-Trips,145
01-02-2024,AP01,4-Trips,94
01-02-2024,AP01,5-Trips,48
01-02-2024,AP01,6-Trips,34
01-02-2024,AP01,7-Trips,11
01-02-2024,AP01,8-Trips,14
01-02-2024,AP01,9-Trips,7
01-02-2024,CH01,10-Trips,13
01-02-2024,CH01,2-Trips,296
01-02-2024,CH01,3-Trips,147
01-02-2024,CH01,4-Trips,140
01-02-2024,CH01,5-Trips,127
01-02-2024,CH01,6-Trips,48
01-02-2024,CH01,7-Trips,36
01-02-2024,CH01,8-Trips,29
01-02-2024,CH01,9-Trips,17
01-02-2024,GJ01,10-Trips,16
01-02-2024,GJ01,2-Trips,87
01-02-2024,GJ01,3-Trips,148
01-02-2024,GJ01,4-Trips,284
01-02-2024,GJ01,5-Trips,197
01-02-2024,GJ01,6-Trips,307
01-02-2024,GJ01,7-Trips,140
01-02-2024,GJ01,8-Trips,112
01-02-2024,GJ01,9-Trips,22
01-02-2024,GJ02,10-Trips,8
01-02-2024,GJ02,2-Trips,83
01-02-2024,GJ02,3-Trips,76
01-02-2024,GJ02,4-Trips,70
01-02-2024,GJ02,5-Trips,101
01-02-2024,GJ02,6-Trips,137
01-02-2024,GJ02,7-Trips,93
01-02-2024,GJ02,8-Trips,28
01-02-2024,GJ02,9-Trips,14
01-02-2024,KA01,10-Trips,1
01-02-2024,KA01,2-Trips,91
01-02-2024,KA01,3-Trips,47
01-02-2024,KA01,4-Trips,18
01-02-2024,KA01,5-Trips,11
01-02-2024,KA01,6-Trips,8
01-02-2024,KA01,7-Trips,4
01-02-2024,KA01,8-Trips,2
01-02-2024,KA01,9-Trips,1
01-02-2024,KL01,10-Trips,10
01-02-2024,KL01,2-Trips,439
01-02-2024,KL01,3-Trips,239
01-02-2024,KL01,4-Trips,153
01-02-2024,KL01,5-Trips,75
01-02-2024,KL01,6-Trips,37
01-02-2024,KL01,7-Trips,16
01-02-2024,KL01,8-Trips,19
01-02-2024,KL01,9-Trips,17
01-02-2024,MP01,10-Trips,18
01-02-2024,MP01,2-Trips,332
01-02-2024,MP01,3-Trips,271
01-02-2024,MP01,4-Trips,176
01-02-2024,MP01,5-Trips,107
01-02-2024,MP01,6-Trips,59
01-02-2024,MP01,7-Trips,66
01-02-2024,MP01,8-Trips,46
01-02-2024,MP01,9-Trips,28
01-02-2024,RJ01,10-Trips,14
01-02-2024,RJ01,2-Trips,999
01-02-2024,RJ01,3-Trips,222
01-02-2024,RJ01,4-Trips,166
01-02-2024,RJ01,5-Trips,88
01-02-2024,RJ01,6-Trips,80
01-02-2024,RJ01,7-Trips,51
01-02-2024,RJ01,8-Trips,31
01-02-2024,RJ01,9-Trips,10
01-02-2024,TN01,10-Trips,3
